text,label
"Ce produit est excellent, je le recommande vivement",1
"Livraison très rapide et emballage soigné",1
"Qualité médiocre, je suis déçu",0
"Ne fonctionne pas correctement, à éviter",0
"Super rapport qualité-prix",1
"Service client horrible",0
"Je rachèterai sans hésiter",1
"Produit cassé à l'arrivée",0
"Très satisfait de mon achat",1
"Perte de temps et d'argent",0
"Parfait, rien à redire",1
"Mauvaise expérience globale",0
"Excellent service après-vente",1
"Je ne recommande pas du tout",0
"Produit conforme à la description",1
"Déçu par la qualité globale",0
"Très bon produit, je suis content",1
"Catastrophe totale, à fuir",0
"Livraison impeccable et produit top",1
"Ne vaut vraiment pas le prix",0
"Je suis ravi de cet achat",1
"Horrible, je regrette",0

